"","SRR1408848","SRR1408849","SRR1408850","SRR1408851","SRR1408852","SRR1408853","SRR1408854","SRR1408855"
"Rnf111",451,289,390,374,354,422,311,306
"Rnf112",1002,797,340,338,999,1026,574,294
"Rnf113a1",43,57,57,26,53,39,21,28
"Rnf113a2",69,121,92,88,54,81,84,66
"Rnf114",624,484,500,327,567,757,505,384
"Rnf115",936,978,1083,842,778,906,883,1057
"Rnf121",166,118,115,138,199,191,133,126
"Rnf122",41,51,45,15,15,26,17,13
"Rnf123",250,296,122,70,258,421,181,122
"Rnf125",31,21,38,12,11,24,33,14
"Rnf126",117,79,20,42,132,169,52,28
"Rnf128",238,237,238,266,228,224,421,313
"Rnf13",1379,1218,2561,1188,825,895,1316,1288
"Rnf130",2090,2247,2233,1924,2316,2649,2624,2016
"Rnf135",29,38,44,60,29,29,12,31
"Rnf138",185,169,255,172,150,138,152,196
"Rnf138rt1",2,0,4,3,0,29,0,4
"Rnf139",340,314,724,480,327,452,565,446
"Rnf14",4641,4537,6963,6582,5335,4455,7171,5186
"Rnf141",1176,1133,2244,1440,918,1092,1409,1371
"Rnf144a",465,477,790,560,484,457,447,483
"Rnf144b",475,552,453,347,404,423,376,563
"Rnf145",1107,948,1004,835,1014,1359,1348,904
"Rnf146",491,377,555,454,444,525,583,436
"Rnf149",274,363,338,219,269,315,280,301
"Rnf150",876,949,862,776,1141,946,1309,1154
"Rnf151",8,5,5,0,6,9,0,7
"Rnf152",214,333,295,208,248,204,571,392
"Rnf157",3206,2923,1877,1614,3257,3582,2118,1488
"Rnf165",795,702,507,332,576,557,424,519
"Rnf166",125,124,32,86,76,121,59,39
"Rnf167",585,591,631,438,528,657,466,421
"Rnf168",594,544,490,520,414,410,570,551
"Rnf169",728,625,637,701,663,602,738,690
"Rnf17",2,0,1,0,9,0,0,6
"Rnf170",120,107,138,68,87,92,134,139
"Rnf180",198,231,270,101,201,195,160,157
"Rnf181",533,467,585,462,500,501,544,481
"Rnf182",119,176,271,111,148,176,149,136
"Rnf183",1,0,0,0,0,0,0,0
"Rnf185",418,506,491,484,517,566,440,385
"Rnf187",3815,3589,2027,2242,3767,4314,2618,1631
"Rnf19a",472,363,582,453,370,501,469,446
"Rnf19b",534,495,411,330,427,596,442,301
"Rnf2",568,306,674,587,382,466,563,543
"Rnf20",686,587,659,474,619,636,561,654
"Rnf207",1,3,0,0,0,2,3,0
"Rnf208",312,266,64,62,253,360,63,41
"Rnf212b",2,0,0,0,0,0,1,0
"Rnf213",77,89,106,69,66,93,49,62
"Rnf214",1033,1068,1098,1063,966,986,1282,1033
"Rnf215",82,87,48,24,97,143,30,38
"Rnf216",495,453,338,330,489,590,283,407
"Rnf217",193,145,206,249,153,246,224,265
"Rnf220",1275,1119,580,515,1332,1474,609,391
"Rnf223",7,0,0,0,1,3,2,0
"Rnf225",6,0,6,0,2,5,0,4
"Rnf227",1764,1890,2363,1750,1621,1923,2185,2193
"Rnf24",787,709,548,492,598,716,754,665
"Rnf25",168,193,77,94,199,173,95,59
"Rnf26",61,26,21,13,55,58,39,17
"Rnf31",111,86,28,30,56,160,45,21
"Rnf32",91,143,137,138,96,97,99,91
"Rnf34",693,722,596,563,586,549,630,460
"Rnf38",696,556,779,564,455,720,600,745
"Rnf39",53,46,38,19,18,36,49,46
"Rnf4",954,933,1039,1004,669,827,973,935
"Rnf40",300,404,166,122,415,454,188,121
"Rnf41",468,406,426,343,435,673,370,289
"Rnf43",15,6,18,4,8,12,2,5
"Rnf44",1303,1183,1044,602,1038,1258,986,902
"Rnf5",274,257,236,153,206,320,216,100
"Rnf6",883,770,676,515,749,676,624,579
"Rnf7",285,188,417,304,177,236,223,232
"Rnf8",35,46,41,30,38,35,12,25
"Rnft1",133,189,193,133,66,102,130,136
"Rnft2",872,910,494,467,866,994,740,335
"Rngtt",307,328,445,336,316,309,422,383
"Rnh1",171,161,61,35,183,230,48,35
"Rnls",9,11,3,1,9,0,17,8
"Rnmt",869,1069,1024,964,951,926,1116,926
"Rnpc3",100,67,60,62,44,64,28,31
"Rnpep",338,343,323,233,297,405,235,224
"Rnpepl1",71,84,24,9,77,101,26,10
"Rnps1",241,213,150,240,192,207,222,219
"Rnu7",0,0,0,5,0,10,2,0
"Rny3",0,0,0,0,0,0,2,0
"Ro60",917,1034,1492,682,781,813,1301,1349
"Robo1",525,731,557,632,589,819,738,704
"Robo2",1307,1407,1399,1146,1268,1628,1333,1458
"Robo3",13,22,3,0,1,9,0,1
"Robo4",63,30,41,20,43,70,25,45
"Rock1",216,272,452,140,160,219,223,285
"Rock2",3843,3905,4620,3135,3551,3350,3950,4361
"Rogdi",581,634,172,178,568,767,305,149
"Rom1",25,15,49,6,23,11,10,13
"Romo1",38,80,10,20,55,48,16,17
"Ropn1",0,0,0,0,0,0,0,6
"Ropn1l",2,14,11,3,3,0,2,3
"Ror1",9,12,13,4,12,21,0,11
"Ror2",3,1,10,0,12,0,1,10
"Rora",1018,754,1574,569,564,755,602,1231
"Rorb",481,389,447,405,247,394,280,385
"Rorc",2,14,4,10,5,6,0,3
"Rp1",0,0,0,0,0,0,0,4
"Rp2",235,226,318,256,147,171,183,261
"Rp9",185,174,159,103,120,218,129,119
"Rpa1",469,616,717,524,465,490,625,488
"Rpa2",97,84,87,45,80,100,103,45
"Rpa3",41,49,78,38,58,40,48,32
"Rpa4",0,0,2,0,0,0,0,0
"Rpain",69,47,22,24,84,78,42,27
"Rpap1",102,64,31,44,83,109,53,32
"Rpap2",138,188,246,212,165,238,237,164
"Rpap3",231,185,239,208,178,211,200,194
"Rpe",280,234,457,261,224,185,315,338
"Rpe65",4,0,2,0,0,4,0,6
"Rpf1",152,152,146,116,74,72,108,104
"Rpf2",171,172,258,193,115,210,109,151
"Rpgr",156,115,186,135,145,149,148,135
"Rpgrip1",0,6,2,19,7,11,16,3
"Rpgrip1l",288,304,419,326,265,287,442,399
"Rph3a",5799,4967,4769,2975,5431,5232,5011,3735
"Rph3al",5,5,8,0,1,7,10,2
"Rpia",93,66,56,66,62,60,34,31
"Rpl10",131,147,159,110,124,144,202,134
"Rpl10a",71,71,64,27,48,116,35,20
"Rpl10l",0,7,0,0,0,0,0,0
"Rpl11",295,266,308,233,188,340,353,216
"Rpl12",164,84,133,143,112,119,63,60
"Rpl13",68,86,76,98,91,65,49,50
"Rpl13-ps6",0,1,0,1,0,0,0,0
"Rpl13a",789,722,405,371,401,685,194,242
"Rpl14",314,268,258,176,239,286,137,156
"Rpl14-ps1",504,487,418,454,489,569,385,333
"Rpl15",660,603,1022,755,595,623,939,805
"Rpl17",8,2,15,7,2,24,5,0
"Rpl17-ps10",4,0,2,0,2,2,1,0
"Rpl17-ps8",0,0,0,0,0,0,0,1
