"","SRR8809606","SRR8809607","SRR8809608","SRR8809609","SRR8809610","SRR8809611","SRR8809612","SRR8809613","SRR8809614","SRR8809615","SRR8809616","SRR8809617","SRR8809618","SRR8809619","SRR8809620","SRR8809621","SRR8809622","SRR8809623","SRR8809624","SRR8809625","SRR8809626","SRR8809627","SRR8809628","SRR8809629","SRR8809630","SRR8809631","SRR8809632","SRR8809633","SRR8809634","SRR8809635","SRR8809636","SRR8809637","SRR8809638","SRR8809639","SRR8809640","SRR8809641","SRR8809642","SRR8809643"
"Usp48",18,12,280,488,258,1873,1,250,3,291,19,3,769,1125,65,558,168,99,645,967,468,617,552,48,60,699,166,301,11,53,583,0,169,87,76,0,96,697
"Usp49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Usp5",1721,239,466,125,22,2743,458,1562,1947,197,2001,388,1918,4231,1120,1547,242,963,3311,2180,17,1398,1628,1413,906,1090,31,0,529,1883,1083,0,123,940,10,445,417,1977
"Usp50",0,0,87,6,0,0,0,0,66,0,0,16,24,26,0,12,0,0,0,0,0,20,45,0,1,13,0,0,43,0,0,121,0,0,0,46,0,10
"Usp51",0,1,0,76,0,0,1,0,5,6,164,0,0,163,3,134,0,66,110,0,86,146,0,0,3,0,0,0,4,11,0,0,0,0,38,0,0,104
"Usp53",65,12,0,31,252,40,150,123,31,243,436,0,458,61,274,72,67,3,122,9,152,94,0,145,201,0,1,0,0,0,12,0,3,98,108,4,44,177
"Usp54",55,2,151,23,0,31,1,0,222,736,214,1,106,84,31,220,2,57,520,343,4,350,29,8,29,688,16,0,11,138,2,0,5,36,9,0,0,1
"Usp6nl",0,16,96,1,0,0,0,0,0,0,0,3,7,0,2,0,1,0,112,2,6,30,0,34,1,0,0,0,0,0,2,46,8,47,39,0,0,0
"Usp7",1579,143,1342,332,2,1830,63,953,6,1105,1267,290,841,2399,794,795,24,706,1335,182,786,1061,1511,398,221,12,35,393,347,561,433,298,229,1034,55,645,1380,237
"Usp8",58,30,1285,200,1,98,85,1,821,276,1395,634,590,18,170,374,0,449,1342,1066,9,157,624,77,50,68,11,368,380,12,254,768,91,330,347,19,95,1434
"Usp9x",234,191,866,150,104,1022,29,1696,135,19,1065,952,1109,1527,302,1240,927,102,2129,2198,748,327,1870,643,115,1457,65,11,11,1078,470,113,245,29,203,518,318,971
"Usp9y",53,0,0,0,0,0,0,1,0,0,0,119,4,0,0,0,0,0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
"Uspl1",329,196,25,180,275,443,203,131,258,14,680,1514,578,688,666,862,7,551,1000,1,184,365,1143,383,9,787,0,0,0,0,272,164,182,0,35,1,15,595
"Ust",12,98,932,37,2,293,5,457,1738,311,1005,10,254,292,136,217,7,3,146,474,26,704,970,2397,62,625,137,244,5,0,45,150,6,97,362,492,1,732
"Utf1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Utp11",445,85,68,307,154,1067,461,851,101,261,1210,1539,374,644,1005,559,123,81,352,46,23,126,578,198,248,233,320,149,422,172,635,83,196,161,337,430,246,447
"Utp14a",0,23,123,186,0,0,0,8,664,458,324,0,199,10,164,37,72,3,49,191,1,76,443,277,0,412,0,0,1,158,9,5,38,460,0,3,0,1
"Utp14b",162,0,10,202,0,0,1,0,0,0,973,0,88,91,17,4,0,0,0,0,0,86,0,0,4,0,9,0,1,0,6,24,9,0,111,0,0,0
"Utp15",165,123,314,179,0,339,109,1,455,979,321,1144,562,244,385,362,2,352,1396,623,9,442,406,2730,0,854,0,66,1912,0,0,0,2,15,0,75,0,433
"Utp18",211,9,105,55,0,519,140,69,0,75,33,359,617,187,223,115,3,37,63,561,17,212,653,252,41,110,0,0,485,258,43,642,18,0,5,15,817,93
