"PRJNA252803__1","PRJNA252803__2","PRJNA529794__1","PRJNA529794__2","PRJNA252803_fc","PRJNA529794_fc","group_num"
9.75875,9.79375,0.267857142857143,0.252708333333333,1,-1.06,"group_110"
38.9225,57.215,1.14928571428571,1.42541666666667,1.47,1.24,"group_1100"
8.58,12.165,0.651428571428571,1.96527777777778,1.42,3.02,"group_1101"
19.495,25.525,7.76857142857143,13.815,1.31,1.78,"group_1102"
22.5025,25.94,2.50619047619048,8.56402777777778,1.15,3.42,"group_1103"
11.635,8.69875,1.59642857142857,4.43458333333333,-1.34,2.78,"group_1104"
12.7325,16.299375,4.60857142857143,8.400625,1.28,1.82,"group_1105"
9.25875,11.5625,3.88607142857143,5.13145833333333,1.25,1.32,"group_1106"
16.1925,15.205,8.82642857142857,9.52625,-1.06,1.08,"group_1107"
15.2775,15.8775,0.911428571428571,3.10833333333333,1.04,3.41,"group_1108"
25.62,25.33,2.13428571428571,3.86958333333333,-1.01,1.81,"group_1109"
9.0175,10.145,0.345,0.535583333333333,1.13,1.55,"group_111"
18.41875,19.18375,0.810714285714286,3.07,1.04,3.79,"group_1110"
10.04625,10.035,5.6,15.8133333333333,-1,2.82,"group_1111"
