,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Anapc1,186.079939123874,2.11975421126178,0.58588323525788,3.61804892800656,0.000296832289367782,0.000296832289367782
Dchs1,26.7932950002325,5.80912490553765,1.60642284920214,3.61618667738874,0.000298974805366835,0.000298974805366835
Parp16,18.3887428341895,5.28522427610366,1.462191492101,3.614591046833,0.000300822088320103,0.000300822088320103
Xylt1,19.1512297485352,5.99267724064048,1.65833453361173,3.613672102449,0.000301890807768881,0.000301890807768881
A430035B10Rik,6.28068759913647,4.90783083839404,1.35843675044416,3.61285193203831,0.000302847656389906,0.000302847656389906
Rps15a-ps5,1.33641754146871,-2.70037544999685,0.747585572330652,-3.61212889860653,0.00030369353524314,0.00030369353524314
Gm35934,22.0264589686136,6.51086605766102,1.80277706230683,3.61157582587041,0.000304342069520988,0.000304342069520988
Rgs16,10.1786936791084,-5.19852718776282,1.44033721516817,-3.60924312238635,0.000307091699248696,0.000307091699248696
Ggt7,562.57181236282,2.36834590141802,0.656491462652749,3.60758065588243,0.000309065477253495,0.000309065477253495
Rpsa,139.926429736268,-1.16504167571293,0.323136090056963,-3.60542109520343,0.000311647173876272,0.000311647173876272
Mir8095,7.32707381428925,5.70824172229619,1.58433775917825,3.60291969892638,0.000314662759395754,0.000314662759395754
Fzd1,6.67195602449073,-6.32003579638197,1.75521903009378,-3.60071061675093,0.000317348636302423,0.000317348636302423
Lrrc29,3.35495166271474,4.81289904386133,1.33846017579748,3.59584777409885,0.000323336844822485,0.000323336844822485
Cyp26b1,9.62681313942512,-5.96188461154742,1.65813106111892,-3.59554485851335,0.000323713338834731,0.000323713338834731
Col8a2,6.97568904420269,-6.17100471264555,1.71709533582792,-3.59386260266681,0.000325811693479771,0.000325811693479771
1500026H17Rik,11.3030876952283,6.08703591733711,1.69398828556356,3.59331641736358,0.000326495708305585,0.000326495708305585
Gm26049,8.44474587975789,5.91658801132999,1.64707378680582,3.59218151531879,0.000327921301980412,0.000327921301980412
Snord13,11.1665202178557,-3.61663733986324,1.00695909037183,-3.59164277322108,0.000328600073528655,0.000328600073528655
Slc9a8,133.670739618894,3.39582957416497,0.945486379873352,3.5916218852564,0.000328626417136862,0.000328626417136862
Mvd,20.4416068613611,4.73134136529028,1.31774970436265,3.59047044338263,0.000330081660674791,0.000330081660674791
Ndufab1-ps,21.8054510359364,-1.29458353409234,0.360969032481006,-3.58641162427266,0.000335259612740023,0.000335259612740023
Alpl,11.6826435256264,-7.67691224005798,2.14267487387158,-3.58286379967048,0.00033984782749197,0.00033984782749197
Gm51602,10.8628988946108,6.28152556040661,1.75406511861768,3.58112449403068,0.000342118577914656,0.000342118577914656
Gm39212,8.40385645605881,5.91746262720823,1.65311277272098,3.57958798991569,0.000344136361068088,0.000344136361068088
Gm15938,37.1642858635277,4.84442591078987,1.35345162202854,3.57931220587634,0.000344499705253931,0.000344499705253931
Dhx36,487.815335744866,-1.16929357019893,0.326729434097933,-3.57878246698903,0.000345198640685853,0.000345198640685853
Rps25,239.547886731264,-1.09505598125419,0.305997747979504,-3.57864065498789,0.000345385971846401,0.000345385971846401
Cars,477.154557446657,2.14269672015128,0.5993322148093,3.57514024310049,0.000350040208667709,0.000350040208667709
Gm33862,5.54813047168045,5.49995023021166,1.53910855419528,3.57346479247353,0.000352288629729243,0.000352288629729243
Pld2,20.4849494381421,5.08778482189281,1.42494289989672,3.57051838516588,0.000356275445225142,0.000356275445225142
Bag2,43.2798958213587,5.12132176710778,1.43489903921311,3.56911645150747,0.000358187195422466,0.000358187195422466
