,logFC,logCPM,LR,PValue
Padi2,-0.777053647008154,4.39290606259182,8.17201608669716,0.00425415950459132
Ccr5,-0.776934777388149,3.05807627391878,5.41896801469112,0.019919130004127
Zfp809,-0.775420305472151,2.76349681224061,4.41664971550168,0.0355898493228581
S100a6,-0.773985265847717,3.73772382947632,6.24769229718892,0.0124355215281301
6430584L05Rik,-0.772209804785963,3.04571645018184,4.16244117080718,0.0413297965870387
Nkain3,-0.771159051434703,3.94843134822199,7.51622827873999,0.00611455763359046
Rasgrp3,-0.770385189577047,4.15925089737331,6.54754213255426,0.0105029149978574
Elk3,-0.765837426427846,3.27078063584362,6.36205846472179,0.0116586208668888
Gstk1,-0.760908345323533,3.3723322882198,5.50049607877347,0.0190110797350696
Gm34865,-0.758630843966598,2.69604027887749,4.35803907588119,0.0368346819980549
Efemp1,-0.756090628787146,3.89546584998809,4.12296893429681,0.0423047738872021
Pnp,-0.747169001335546,3.1123761840954,5.02789578610899,0.0249421842449718
Smim11,-0.746973285678378,3.09047491886928,5.13634064003417,0.0234299850515207
Mpzl1,-0.743726435732513,4.1439745891632,8.20135920515276,0.00418590196831554
Dguok,-0.736773663561412,3.04901936254011,4.90611647466303,0.0267617460665884
Anxa3,-0.735938125912054,3.5941701544036,4.78083862367351,0.0287781025905594
Cyp2j6,-0.731573396189215,5.10390590373176,12.9935855113967,0.000312559875437495
Mdga1,-0.730433840202883,3.22379292297164,3.92307910981819,0.0476275719391909
Pcdhb18,-0.729977336577712,3.19491435138033,4.82220956378022,0.0280953078522529
Adgra2,-0.722388544942596,2.96198484229911,4.9308194137033,0.0263818049876982
Tmem243,-0.722147995661565,2.93932935495826,3.93706802815424,0.0472330322155024
Pax6,-0.71601046762305,3.4437136274296,6.24459545772417,0.0124572830827568
Fam163a,-0.715945533899059,3.07947198080019,3.90123215689794,0.0482507078229566
Apip,-0.714926531016773,3.05195756088555,5.18551948877428,0.0227758624940025
Tmem144,-0.714332916086377,3.30676249965342,4.9944602893507,0.0254285826304559
Gon7,-0.714277075750863,3.10546061418151,4.95839394755137,0.0259643112895682
Cd63,-0.713754932273453,4.60580429939627,7.0748539612014,0.00781731928253862
Suclg2,-0.708683323095803,3.67511109307823,6.75337081626904,0.00935707432755537
Itih5,-0.707704729944154,5.97052827929867,10.3652141835753,0.00128412000395546
Fcer1g,-0.704769031062353,3.10739289091934,5.31727386159177,0.0211150202897694
Pigf,-0.704621326990358,3.06132327122717,4.32094100311448,0.0376460985543494
Ggta1,-0.704521505778147,3.00181784062403,4.41214680202018,0.0356839068718642
Eya4,-0.702778999948576,2.89746069877491,3.90121807842009,0.0482511121427391
Sall1,-0.700394334648173,3.92299433147538,5.81471417735558,0.0158926360086487
Siglech,-0.696426280528701,4.3948903762364,9.14556742294926,0.00249321309638807
Ednra,-0.689594762633539,3.47036531515014,4.71665040783518,0.0298718780288129
Pld1,-0.6881554493847,3.65328178843684,6.06306534989646,0.0138037881758047
Katnbl1,-0.680378185856839,4.14324697999021,6.67584875922971,0.00977279638553763
Chsy1,-0.678303931485569,4.23150107392009,8.60327350549427,0.00335559317336237
Txnip,-0.675520212204408,4.56647829367115,6.41573861992441,0.0113113269180002
Tek,-0.67352526288573,4.72094981713986,8.14475195535452,0.00431859622331813
Mpzl3,-0.66207623942144,3.48184311791936,4.19774245705853,0.040477831920484
Gpn3,-0.661549747526698,3.13280985043031,4.53356207345723,0.0332363685160678
Krt10,-0.661396070175577,2.92799905545034,3.92556320547139,0.0475572581268824
Taf7,-0.661274816854589,3.89565222676465,4.32257614396006,0.0376099428312782
Evi2a,-0.661149594992569,3.87660267484932,4.54573146816566,0.0330009192701412
Vcpkmt,-0.660164452989762,3.76002885180623,5.55941541839749,0.0183815512296031
2810459M11Rik,-0.654162363354033,4.55939568526915,9.43250209593336,0.00213173244795128
Atp13a5,-0.653483971166058,3.79830449088328,4.40088215723055,0.0359203454987101
Plekho2,-0.651244508054112,3.32352994583467,4.71542751044903,0.0298931318270174
Hspa1l,-0.645764883850262,3.28629977297743,4.67399673378136,0.0306225843037751
Ccdc190,-0.642113222415897,4.75405049553329,5.34501496073748,0.0207816051151371
Zfp874a,-0.640452654288828,3.93777019670711,6.65047649782713,0.00991293106959922
Gab1,-0.638710131198627,4.71622965455722,6.06951107354551,0.0137535026790288
Fbxo32,-0.638293663846428,3.72908129056852,4.08329252562971,0.0433091886520093
Bok,-0.637559069134404,4.64742217923762,6.61383519137773,0.0101189502384792
Olfml3,-0.636427687225727,4.871790561809,8.0694651925468,0.00450174017201833
Msl3l2,-0.636110563523889,4.10865416585332,6.60835079031787,0.0101501622833713
Plaat3,-0.635841861173399,5.15246462189681,6.91944300852126,0.00852635291838233
Zfp40,-0.635256503512015,4.23791994537813,7.20679379423716,0.00726281223380767
